"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"29","Khoon Khoon",-5.37970360190788,"",1.06047210142976,5.1,-0.260187671260834,-0.241578519784554,-2.66297378393426,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"30","Manoranjan",-5.25321639360589,"",2.20462253071491,6.5,-0.258408689856644,-0.246635020438915,-1.1617423676294,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"31","Ujala",-7.15052451813571,"",1.46646096343417,6.6,-0.259851843138614,-0.255046314796649,-0.461167706687128,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"32","Whispers",-4.49429314379396,"",-0.342034876403645,7.8,-0.259851843138614,-0.257963526712626,-1.46198865089037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"33","Chadi Jawani Budhe Nu",-5.00024197700191,"",1.20810441488591,4.6,-0.260432735025697,-0.257720425719628,-0.461167706687128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"34","Bandie",-4.74726756039794,"",1.42955288507013,4.4,-0.260242129875248,-0.25108376861078,-0.461167706687128,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"36","GoodFellas",-3.22942106077408,"R",1.57718519852628,8.7,10.0110700646461,0.347199930207202,2.00385427888545,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Full Metal Jacket",-3.60888268568004,"R",0.543759004333244,8.3,6.3586487895647,0.135094313816357,1.64055627613968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"38","Once Upon a Time in America",-3.98834431058601,"R",1.35573672834206,8.3,2.87729109879338,0.0864741152167361,1.99384606944342,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","When Harry Met Sally...",-3.35590826907607,"R",-0.231310641311534,7.7,1.70175652448885,-0.0814357406470537,0.93998161519741,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40","A Nightmare on Elm Street",-3.98834431058601,"R",-0.41585103313172,7.4,1.86394335464943,0.322537334467544,0.839899520777085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41","Steel Magnolias",-3.35590826907607,"PG",0.617575161061318,7.3,0.238154032805803,-0.123164026095178,0.739817426356761,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42","Police Academy",-3.98834431058601,"R",-0.194402562947497,6.7,0.872914565979471,0.045098326208459,0.139324859834816,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Christine",-4.114831518888,"R",0.285402455784985,6.7,0.482999963211078,0.0193903961989095,0.339489048675464,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","Awakenings",-3.22942106077408,"PG-13",0.654483239425356,7.8,1.00324310670787,-0.116600299284229,1.34030999287871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","National Lampoon's Christmas Vacation",-3.35590826907607,"PG-13",-0.194402562947497,7.5,1.42547889713097,-0.0359880100060584,0.739817426356761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Lean On Me",-3.35590826907607,"PG-13",0.100862063964799,7.4,-0.0728591141124627,-0.028852995861564,0.839899520777085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Eddie Murphy Raw",-3.60888268568004,"R",-0.452759111495757,7.6,-0.0812366642964806,-0.168113399700527,0.839899520777085,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","She's Gotta Have It",-3.73536989398203,"R",-0.674207581679979,6.7,-0.129205627159465,-0.175114708298873,0.246412700864563,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"54","Endless Love",-4.36780593549197,"R",0.506850925969207,4.9,-0.183192266915195,-0.0329006273949824,-0.7614139899481,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"57","Mobile Suit Gundam: Char's Counterattack",-3.48239547737806,"",0.617575161061318,7.3,-0.245193399425517,-0.166897894735537,0.239406954255141,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"58","Mobile Suit Gundam II: Soldiers of Sorrow",-4.36780593549197,"",1.13428825815784,7.2,-0.24899642599876,-0.105721529847564,0.739817426356761,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"60","Sam Kinison: Breaking the Rules",-3.60888268568004,"R",-1.92908224605724,7.2,-0.254569357540458,-0.242854799997794,0.739817426356761,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Waiting for the Hearse",-3.86185710228402,"",-0.563483346587868,8,-0.202479692853482,-0.17032561873681,1.64055627613968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62","Tim Allen: Men Are Pigs",-3.22942106077408,"",-2.66724381333798,6.1,-0.257292288261157,-0.235087723271505,-0.160921423426156,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Mobile Suit Gundam III: Encounters in Space",-4.24131872718998,"",1.54027712016225,7.6,-0.249341330556715,-0.110389068913128,1.04006370961773,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"64","Monty Python Live at the Hollywood Bowl",-4.24131872718998,"R",-0.78493181677209,7.9,-0.122325688871832,-0.182201102244767,0.93998161519741,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65","Disco Dancer",-4.24131872718998,"",0.137770142328837,6.4,-0.247162985980156,-0.169486920310967,-1.1617423676294,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"66","Agneepath",-3.22942106077408,"",2.64751947108336,7.6,-0.17935293459901,-0.215882744824655,0.0392427654144923,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"67","Parrot Sketch Not Included: Twenty Years of Monty Python",-3.35590826907607,"",-1.11710452204842,8.1,-0.246745469936315,-0.24336531208309,0.439571143095789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68","Too Young The Hero",-3.48239547737806,"",-0.0836783278553859,6.7,-0.256003434386693,-0.24720630777246,-0.26100351784648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"69","A Stoning in Fulham County",-3.48239547737806,"",0.654483239425356,5.9,-0.257047224496294,-0.252979956356165,-0.661331895527777,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70","The Ryan White Story",-3.35590826907607,"",-0.00986217112731175,7.2,-0.252726841086118,-0.241177403146107,-0.561249801107452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Dil",-3.22942106077408,"",2.57370331435528,6.6,-0.212309472755206,-0.216733598300148,0.0392427654144923,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"72","Adam: His Song Continues",-3.73536989398203,"",-0.0836783278553859,7,-0.258635600750035,-0.245772011913771,0.539653237516113,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","The George McKenna Story",-3.48239547737806,"",-0.0836783278553859,6,-0.252200407813449,-0.237348562506387,-0.361085612266804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
